Flop0,Flop1,Flop2,Turn,River,Chips,Hands0,Hands1,Action0,Action1,Action2,Action3,Action4,Action5,Action6,Action7,Action8,Action9,,
12,25,49,10,30,27.9,48,28,1,3,4,9,6,-1,-1,-1,-1,-1,,
4,8,8,-1,-1,331.95,-1,-1,0,2,2,3,7,-1,-1,-1,-1,-1,,
13,15,45,9,48,354,23,22,1,2,-2,2,4,3,4,6,-1,-1,,
5,7,10,-1,-1,243.5,-1,-1,0,2,3,3,2,-2,4,7,-1,-1,,
26,47,3,10,30,647.75,43,29,1,3,4,3,4,2,6,-1,-1,-1,,
4,7,9,-1,-1,557.2,-1,-1,0,2,2,-2,4,3,7,-1,-1,-1,,
24,19,50,51,45,147.7,15,41,0,3,4,4,4,6,-1,-1,-1,-1,,
4,6,8,-1,-1,271.65,9,36,1,4,4,4,4,6,-1,-1,-1,-1,,
6,12,49,38,33,675.25,13,47,0,3,3,3,3,4,6,-1,-1,-1,,
5,7,9,-1,-1,529.2,24,20,1,2,-2,2,2,4,6,-1,-1,-1,,
27,23,29,26,22,99.9,43,19,0,2,3,3,4,2,-2,6,-1,-1,,
5,7,9,-1,-1,248.6,50,33,1,2,-2,2,4,4,3,6,-1,-1,,
25,0,24,4,20,62.6,1,39,0,3,3,3,4,4,6,-1,-1,-1,,
5,7,9,-1,-1,295.35,46,50,1,2,-2,2,4,4,6,-1,-1,-1,,
13,27,31,6,42,139.5,-1,-1,0,2,3,3,4,7,-1,-1,-1,-1,,
4,6,8,-1,-1,278.65,30,48,1,3,2,2,4,6,-1,-1,-1,-1,,
24,45,40,31,32,697.55,42,51,0,2,2,-2,2,-2,2,-2,6,-1,,
4,7,10,-1,-1,506.2,-1,-1,1,3,4,3,4,3,4,3,7,-1,,
42,24,48,35,45,114.5,-1,-1,0,3,4,3,3,7,-1,-1,-1,-1,,
4,6,8,-1,-1,303.15,38,33,1,4,4,2,2,6,-1,-1,-1,-1,,
41,25,19,35,47,118.05,37,8,0,3,4,4,4,6,-1,-1,-1,-1,,
4,6,8,-1,-1,132.05,31,4,1,4,4,4,4,6,-1,-1,-1,-1,,
32,51,1,16,38,735.05,40,12,1,3,4,2,3,4,6,-1,-1,-1,,
4,6,9,-1,-1,468.2,11,17,0,2,4,2,-2,4,6,-1,-1,-1,,
33,7,22,27,39,118.5,31,19,0,2,4,2,-2,2,-2,6,-1,-1,,
4,6,9,-1,-1,297.65,-1,-1,1,3,4,2,3,4,3,7,-1,-1,,
14,4,21,19,39,45.1,38,50,0,2,9,6,-1,-1,-1,-1,-1,-1,,
5,5,5,-1,-1,310.35,35,26,1,2,-2,6,-1,-1,-1,-1,-1,-1,,
29,50,33,48,31,126,42,40,0,3,3,3,2,-2,6,-1,-1,-1,,
4,6,8,-1,-1,289.15,-1,-1,1,4,2,2,4,3,7,-1,-1,-1,,
29,14,44,32,45,741.35,-1,-1,0,2,2,-2,2,3,4,7,-1,-1,,
4,7,11,-1,-1,460,48,10,1,3,4,3,4,2,4,6,-1,-1,,
